Abnutzungsausgleich	wear compensation
Abnutzungsfaktor	abrasion factor
Abnutzungsfläche	wearing surface
Abnutzungsgrenze	wear limit
Abpackung in Steigen	tray packing
abpausen	trace
Abplatzen	spalling
Abplatzen	chipping
Abplatzen	spall
Abplatzen	chip
LIEBE	LOVE
